,x,y,width,height,rotate
120,-400.0,-80.0,1.4,1.4,101.0
121,-400.0,-77.3,0.8,0.8,101.0
122,-400.0,-74.7,0.8,0.8,101.0
123,-400.0,-72.0,0.8,0.8,100.0
124,-400.0,-69.3,0.8,0.8,100.0
125,-400.0,-66.7,0.8,0.8,99.0
126,-400.0,-64.0,0.8,0.8,99.0
127,-400.0,-61.3,0.8,0.8,99.0
128,-400.0,-58.7,0.8,0.8,98.0
129,-400.0,-56.0,0.8,0.8,98.0
130,-400.0,-53.3,0.8,0.8,98.0
131,-400.0,-50.7,0.8,0.8,97.0
132,-400.0,-48.0,0.8,0.8,97.0
133,-400.0,-45.3,0.8,0.8,96.0
134,-400.0,-42.7,0.3,0.3,96.0
135,-400.0,-40.0,0.3,0.3,96.0
136,-400.0,-37.3,0.3,0.3,95.0
137,-400.0,-34.7,0.3,0.3,95.0
138,-400.0,-32.0,0.3,0.3,95.0
139,-400.0,-29.3,0.3,0.3,94.0
140,-400.0,-26.7,0.3,0.3,94.0
141,-400.0,-24.0,0.3,0.3,93.0
142,-400.0,-21.3,0.3,0.3,93.0
143,-400.0,-18.7,0.3,0.3,93.0
144,-400.0,-16.0,0.3,0.3,92.0
145,-400.0,-13.3,0.3,0.3,92.0
146,-400.0,-10.7,0.3,0.3,92.0
147,-400.0,-8.0,0.3,0.3,91.0
148,-400.0,-5.3,0.3,0.3,91.0
149,-400.0,-2.7,0.3,0.3,90.0
150,-400.0,0.0,0.3,0.3,90.0
151,-400.0,2.7,0.3,0.3,90.0
152,-400.0,5.3,0.3,0.3,89.0
153,-400.0,8.0,0.3,0.3,89.0
154,-400.0,10.7,0.3,0.3,88.0
155,-400.0,13.3,0.3,0.3,88.0
156,-400.0,16.0,0.3,0.3,88.0
157,-400.0,18.7,0.3,0.3,87.0
158,-400.0,21.3,0.3,0.3,87.0
159,-400.0,24.0,0.3,0.3,87.0
160,-400.0,26.7,0.3,0.3,86.0
161,-400.0,29.3,0.3,0.3,86.0
162,-400.0,32.0,0.3,0.3,85.0
163,-400.0,34.7,0.3,0.3,85.0
164,-400.0,37.3,0.3,0.3,85.0
165,-400.0,40.0,0.3,0.3,84.0
166,-400.0,42.7,0.3,0.3,84.0
167,-400.0,45.3,0.8,0.8,84.0
168,-400.0,48.0,0.8,0.8,83.0
169,-400.0,50.7,0.8,0.8,83.0
170,-400.0,53.3,0.8,0.8,82.0
171,-400.0,56.0,0.8,0.8,82.0
172,-400.0,58.7,0.8,0.8,82.0
173,-400.0,61.3,0.8,0.8,81.0
174,-400.0,64.0,0.8,0.8,81.0
175,-400.0,66.7,0.8,0.8,81.0
176,-400.0,69.3,0.8,0.8,80.0
177,-400.0,72.0,0.8,0.8,80.0
178,-400.0,74.7,0.8,0.8,79.0
179,-400.0,77.3,0.8,0.8,79.0
180,-400.0,80.0,1.4,1.4,79.0
181,-400.0,82.7,1.4,1.4,78.0
182,-400.0,85.3,1.4,1.4,78.0
183,-400.0,88.0,1.4,1.4,78.0
184,-400.0,90.7,1.4,1.4,77.0
185,-400.0,93.3,1.4,1.4,77.0
186,-400.0,96.0,1.4,1.4,77.0
187,-400.0,98.7,1.4,1.4,76.0
188,-400.0,101.3,1.8,1.8,76.0
189,-400.0,104.0,1.8,1.8,75.0
190,-400.0,106.7,1.8,1.8,75.0
191,-400.0,109.3,1.8,1.8,75.0
192,-400.0,112.0,1.8,1.8,74.0
193,-400.0,114.7,1.8,1.8,74.0
194,-400.0,117.3,1.8,1.8,74.0
195,-400.0,120.0,2.0,2.0,73.0
196,-400.0,122.7,2.0,2.0,73.0
197,-400.0,125.3,2.0,2.0,73.0
198,-400.0,128.0,2.0,2.0,72.0
199,-400.0,130.7,2.0,2.0,72.0
200,-400.0,133.3,2.0,2.0,72.0
201,-400.0,136.0,2.0,2.0,71.0
202,-400.0,138.7,2.1,2.1,71.0
203,-400.0,141.3,2.1,2.1,71.0
204,-400.0,144.0,2.1,2.1,70.0
205,-400.0,146.7,2.1,2.1,70.0
206,-400.0,149.3,2.1,2.1,70.0
207,-400.0,152.0,2.0,2.0,69.0
208,-400.0,154.7,2.0,2.0,69.0
209,-400.0,157.3,2.0,2.0,69.0
210,-400.0,160.0,2.0,2.0,68.0
211,-400.0,162.7,2.0,2.0,68.0
212,-400.0,165.3,1.8,1.8,68.0
213,-400.0,168.0,1.8,1.8,67.0
214,-400.0,170.7,1.8,1.8,67.0
215,-400.0,173.3,1.8,1.8,67.0
216,-400.0,176.0,1.8,1.8,66.0
217,-400.0,178.7,1.4,1.4,66.0
218,-400.0,181.3,1.4,1.4,66.0
219,-400.0,184.0,1.4,1.4,65.0
220,-400.0,186.7,1.4,1.4,65.0
221,-400.0,189.3,0.8,0.8,65.0
222,-400.0,192.0,0.8,0.8,64.0
223,-400.0,194.7,0.8,0.8,64.0
224,-400.0,197.3,0.8,0.8,64.0
225,-400.0,200.0,0.8,0.8,63.0
226,-400.0,202.7,0.3,0.3,63.0
227,-400.0,205.3,0.3,0.3,63.0
228,-400.0,208.0,0.3,0.3,63.0
229,-400.0,210.7,0.3,0.3,62.0
230,-400.0,213.3,0.8,0.8,62.0
231,-400.0,216.0,0.8,0.8,62.0
232,-400.0,218.7,0.8,0.8,61.0
233,-400.0,221.3,0.8,0.8,61.0
234,-400.0,224.0,1.4,1.4,61.0
235,-400.0,226.7,1.4,1.4,60.0
236,-400.0,229.3,1.4,1.4,60.0
237,-400.0,232.0,1.4,1.4,60.0
238,-400.0,234.7,1.8,1.8,60.0
239,-400.0,237.3,1.8,1.8,59.0
240,-400.0,240.0,1.8,1.8,59.0
241,-400.0,242.7,2.0,2.0,59.0
242,-400.0,245.3,2.0,2.0,58.0
243,-400.0,248.0,2.0,2.0,58.0
244,-400.0,250.7,2.0,2.0,58.0
245,-400.0,253.3,2.1,2.1,58.0
246,-400.0,256.0,2.1,2.1,57.0
247,-400.0,258.7,2.1,2.1,57.0
248,-400.0,261.3,2.0,2.0,57.0
249,-400.0,264.0,2.0,2.0,57.0
250,-400.0,266.7,2.0,2.0,56.0
251,-400.0,269.3,2.0,2.0,56.0
252,-400.0,272.0,1.8,1.8,56.0
253,-400.0,274.7,1.8,1.8,56.0
254,-400.0,277.3,1.8,1.8,55.0
255,-400.0,280.0,1.4,1.4,55.0
256,-400.0,282.7,1.4,1.4,55.0
257,-400.0,285.3,1.4,1.4,55.0
258,-400.0,288.0,0.8,0.8,54.0
259,-400.0,290.7,0.8,0.8,54.0
260,-400.0,293.3,0.8,0.8,54.0
261,-400.0,296.0,0.3,0.3,53.0
262,-400.0,298.7,0.3,0.3,53.0
263,-400.0,301.3,0.3,0.3,53.0
264,-400.0,304.0,0.3,0.3,53.0
265,-400.0,306.7,0.8,0.8,53.0
266,-400.0,309.3,0.8,0.8,52.0
267,-400.0,312.0,0.8,0.8,52.0
268,-400.0,314.7,1.4,1.4,52.0
269,-400.0,317.3,1.4,1.4,52.0
270,-400.0,320.0,1.4,1.4,51.0
271,-400.0,322.7,1.8,1.8,51.0
272,-400.0,325.3,1.8,1.8,51.0
273,-400.0,328.0,1.8,1.8,51.0
274,-400.0,330.7,2.0,2.0,50.0
275,-400.0,333.3,2.0,2.0,50.0
276,-400.0,336.0,2.0,2.0,50.0
277,-400.0,338.7,2.1,2.1,50.0
278,-400.0,341.3,2.1,2.1,50.0
279,-400.0,344.0,2.0,2.0,49.0
280,-400.0,346.7,2.0,2.0,49.0
281,-400.0,349.3,2.0,2.0,49.0
282,-400.0,352.0,1.8,1.8,49.0
283,-400.0,354.7,1.8,1.8,48.0
284,-400.0,357.3,1.8,1.8,48.0
285,-400.0,360.0,1.4,1.4,48.0
286,-400.0,362.7,1.4,1.4,48.0
287,-400.0,365.3,1.4,1.4,48.0
288,-400.0,368.0,0.8,0.8,47.0
289,-400.0,370.7,0.8,0.8,47.0
290,-400.0,373.3,0.8,0.8,47.0
291,-400.0,376.0,0.3,0.3,47.0
292,-400.0,378.7,0.3,0.3,47.0
293,-400.0,381.3,0.8,0.8,46.0
294,-400.0,384.0,0.8,0.8,46.0
295,-400.0,386.7,0.8,0.8,46.0
296,-400.0,389.3,1.4,1.4,46.0
297,-400.0,392.0,1.4,1.4,46.0
298,-400.0,394.7,1.4,1.4,45.0
299,-400.0,397.3,1.8,1.8,45.0
300,-397.3,-400.0,1.8,1.8,135.0
301,-397.3,-397.3,1.4,1.4,135.0
302,-397.3,-394.7,1.4,1.4,135.0
303,-397.3,-392.0,1.4,1.4,135.0
304,-397.3,-389.3,0.8,0.8,134.0
305,-397.3,-386.7,0.8,0.8,134.0
306,-397.3,-384.0,0.8,0.8,134.0
307,-397.3,-381.3,0.3,0.3,134.0
308,-397.3,-378.7,0.3,0.3,134.0
309,-397.3,-376.0,0.8,0.8,133.0
310,-397.3,-373.3,0.8,0.8,133.0
311,-397.3,-370.7,0.8,0.8,133.0
312,-397.3,-368.0,1.4,1.4,133.0
313,-397.3,-365.3,1.4,1.4,133.0
314,-397.3,-362.7,1.4,1.4,132.0
315,-397.3,-360.0,1.8,1.8,132.0
316,-397.3,-357.3,1.8,1.8,132.0
317,-397.3,-354.7,1.8,1.8,132.0
318,-397.3,-352.0,2.0,2.0,132.0
319,-397.3,-349.3,2.0,2.0,131.0
320,-397.3,-346.7,2.1,2.1,131.0
321,-397.3,-344.0,2.1,2.1,131.0
322,-397.3,-341.3,2.1,2.1,131.0
323,-397.3,-338.7,2.0,2.0,130.0
324,-397.3,-336.0,2.0,2.0,130.0
325,-397.3,-333.3,2.0,2.0,130.0
326,-397.3,-330.7,1.8,1.8,130.0
327,-397.3,-328.0,1.8,1.8,130.0
328,-397.3,-325.3,1.8,1.8,129.0
329,-397.3,-322.7,1.4,1.4,129.0
330,-397.3,-320.0,1.4,1.4,129.0
331,-397.3,-317.3,1.4,1.4,129.0
332,-397.3,-314.7,0.8,0.8,128.0
333,-397.3,-312.0,0.8,0.8,128.0
334,-397.3,-309.3,0.8,0.8,128.0
335,-397.3,-306.7,0.3,0.3,128.0
336,-397.3,-304.0,0.3,0.3,127.0
337,-397.3,-301.3,0.3,0.3,127.0
338,-397.3,-298.7,0.8,0.8,127.0
339,-397.3,-296.0,0.8,0.8,127.0
340,-397.3,-293.3,0.8,0.8,126.0
341,-397.3,-290.7,1.4,1.4,126.0
342,-397.3,-288.0,1.4,1.4,126.0
343,-397.3,-285.3,1.4,1.4,126.0
344,-397.3,-282.7,1.4,1.4,125.0
345,-397.3,-280.0,1.8,1.8,125.0
346,-397.3,-277.3,1.8,1.8,125.0
347,-397.3,-274.7,1.8,1.8,125.0
348,-397.3,-272.0,2.0,2.0,124.0
349,-397.3,-269.3,2.0,2.0,124.0
350,-397.3,-266.7,2.0,2.0,124.0
351,-397.3,-264.0,2.1,2.1,124.0
352,-397.3,-261.3,2.1,2.1,123.0
353,-397.3,-258.7,2.1,2.1,123.0
354,-397.3,-256.0,2.1,2.1,123.0
355,-397.3,-253.3,2.0,2.0,123.0
356,-397.3,-250.7,2.0,2.0,122.0
357,-397.3,-248.0,2.0,2.0,122.0
358,-397.3,-245.3,1.8,1.8,122.0
359,-397.3,-242.7,1.8,1.8,121.0
360,-397.3,-240.0,1.8,1.8,121.0
361,-397.3,-237.3,1.8,1.8,121.0
362,-397.3,-234.7,1.4,1.4,121.0
363,-397.3,-232.0,1.4,1.4,120.0
364,-397.3,-229.3,1.4,1.4,120.0
365,-397.3,-226.7,0.8,0.8,120.0
366,-397.3,-224.0,0.8,0.8,119.0
367,-397.3,-221.3,0.8,0.8,119.0
368,-397.3,-218.7,0.8,0.8,119.0
369,-397.3,-216.0,0.3,0.3,119.0
370,-397.3,-213.3,0.3,0.3,118.0
371,-397.3,-210.7,0.3,0.3,118.0
372,-397.3,-208.0,0.3,0.3,118.0
373,-397.3,-205.3,0.8,0.8,117.0
374,-397.3,-202.7,0.8,0.8,117.0
375,-397.3,-200.0,0.8,0.8,117.0
376,-397.3,-197.3,0.8,0.8,116.0
377,-397.3,-194.7,1.4,1.4,116.0
378,-397.3,-192.0,1.4,1.4,116.0
379,-397.3,-189.3,1.4,1.4,115.0
380,-397.3,-186.7,1.4,1.4,115.0
381,-397.3,-184.0,1.4,1.4,115.0
382,-397.3,-181.3,1.8,1.8,115.0
383,-397.3,-178.7,1.8,1.8,114.0
384,-397.3,-176.0,1.8,1.8,114.0
385,-397.3,-173.3,1.8,1.8,114.0
386,-397.3,-170.7,2.0,2.0,113.0
387,-397.3,-168.0,2.0,2.0,113.0
388,-397.3,-165.3,2.0,2.0,113.0
389,-397.3,-162.7,2.0,2.0,112.0
390,-397.3,-160.0,2.0,2.0,112.0
391,-397.3,-157.3,2.1,2.1,112.0
392,-397.3,-154.7,2.1,2.1,111.0
393,-397.3,-152.0,2.1,2.1,111.0
394,-397.3,-149.3,2.1,2.1,111.0
395,-397.3,-146.7,2.1,2.1,110.0
396,-397.3,-144.0,2.1,2.1,110.0
397,-397.3,-141.3,2.0,2.0,110.0
398,-397.3,-138.7,2.0,2.0,109.0
399,-397.3,-136.0,2.0,2.0,109.0
400,-397.3,-133.3,2.0,2.0,109.0
401,-397.3,-130.7,2.0,2.0,108.0
402,-397.3,-128.0,1.8,1.8,108.0
403,-397.3,-125.3,1.8,1.8,108.0
404,-397.3,-122.7,1.8,1.8,107.0
405,-397.3,-120.0,1.8,1.8,107.0
406,-397.3,-117.3,1.8,1.8,106.0
407,-397.3,-114.7,1.8,1.8,106.0
408,-397.3,-112.0,1.8,1.8,106.0
409,-397.3,-109.3,1.4,1.4,105.0
410,-397.3,-106.7,1.4,1.4,105.0
411,-397.3,-104.0,1.4,1.4,105.0
412,-397.3,-101.3,1.4,1.4,104.0
413,-397.3,-98.7,1.4,1.4,104.0
414,-397.3,-96.0,1.4,1.4,104.0
415,-397.3,-93.3,1.4,1.4,103.0
416,-397.3,-90.7,1.4,1.4,103.0
417,-397.3,-88.0,0.8,0.8,102.0
418,-397.3,-85.3,0.8,0.8,102.0
419,-397.3,-82.7,0.8,0.8,102.0
420,-397.3,-80.0,0.8,0.8,101.0
421,-397.3,-77.3,0.8,0.8,101.0
422,-397.3,-74.7,0.8,0.8,101.0
423,-397.3,-72.0,0.8,0.8,100.0
424,-397.3,-69.3,0.8,0.8,100.0
425,-397.3,-66.7,0.8,0.8,100.0
426,-397.3,-64.0,0.3,0.3,99.0
427,-397.3,-61.3,0.3,0.3,99.0
428,-397.3,-58.7,0.3,0.3,98.0
429,-397.3,-56.0,0.3,0.3,98.0
430,-397.3,-53.3,0.3,0.3,98.0
431,-397.3,-50.7,0.3,0.3,97.0
432,-397.3,-48.0,0.3,0.3,97.0
433,-397.3,-45.3,0.3,0.3,97.0
434,-397.3,-42.7,0.3,0.3,96.0
435,-397.3,-40.0,0.3,0.3,96.0
436,-397.3,-37.3,0.3,0.3,95.0
437,-397.3,-34.7,0.3,0.3,95.0
438,-397.3,-32.0,0.3,0.3,95.0
439,-397.3,-29.3,0.3,0.3,94.0
440,-397.3,-26.7,0.3,0.3,94.0
441,-397.3,-24.0,0.3,0.3,93.0
442,-397.3,-21.3,0.3,0.3,93.0
443,-397.3,-18.7,0.3,0.3,93.0
444,-397.3,-16.0,0.3,0.3,92.0
445,-397.3,-13.3,0.3,0.3,92.0
446,-397.3,-10.7,0.8,0.8,92.0
447,-397.3,-8.0,0.8,0.8,91.0
448,-397.3,-5.3,0.8,0.8,91.0
449,-397.3,-2.7,0.8,0.8,90.0
450,-397.3,0.0,0.8,0.8,90.0
451,-397.3,2.7,0.8,0.8,90.0
452,-397.3,5.3,0.8,0.8,89.0
453,-397.3,8.0,0.8,0.8,89.0
454,-397.3,10.7,0.8,0.8,88.0
455,-397.3,13.3,0.3,0.3,88.0
456,-397.3,16.0,0.3,0.3,88.0
457,-397.3,18.7,0.3,0.3,87.0
458,-397.3,21.3,0.3,0.3,87.0
459,-397.3,24.0,0.3,0.3,87.0
460,-397.3,26.7,0.3,0.3,86.0
461,-397.3,29.3,0.3,0.3,86.0
462,-397.3,32.0,0.3,0.3,85.0
463,-397.3,34.7,0.3,0.3,85.0
464,-397.3,37.3,0.3,0.3,85.0
465,-397.3,40.0,0.3,0.3,84.0
466,-397.3,42.7,0.3,0.3,84.0
467,-397.3,45.3,0.3,0.3,83.0
468,-397.3,48.0,0.3,0.3,83.0
469,-397.3,50.7,0.3,0.3,83.0
470,-397.3,53.3,0.3,0.3,82.0
471,-397.3,56.0,0.3,0.3,82.0
472,-397.3,58.7,0.3,0.3,82.0
473,-397.3,61.3,0.3,0.3,81.0
474,-397.3,64.0,0.3,0.3,81.0
475,-397.3,66.7,0.8,0.8,80.0
476,-397.3,69.3,0.8,0.8,80.0
477,-397.3,72.0,0.8,0.8,80.0
478,-397.3,74.7,0.8,0.8,79.0
479,-397.3,77.3,0.8,0.8,79.0
480,-397.3,80.0,0.8,0.8,79.0
481,-397.3,82.7,0.8,0.8,78.0
482,-397.3,85.3,0.8,0.8,78.0
483,-397.3,88.0,0.8,0.8,78.0
484,-397.3,90.7,1.4,1.4,77.0
485,-397.3,93.3,1.4,1.4,77.0
486,-397.3,96.0,1.4,1.4,76.0
487,-397.3,98.7,1.4,1.4,76.0
488,-397.3,101.3,1.4,1.4,76.0
489,-397.3,104.0,1.4,1.4,75.0
490,-397.3,106.7,1.4,1.4,75.0
491,-397.3,109.3,1.4,1.4,75.0
492,-397.3,112.0,1.8,1.8,74.0
493,-397.3,114.7,1.8,1.8,74.0
494,-397.3,117.3,1.8,1.8,74.0
495,-397.3,120.0,1.8,1.8,73.0
496,-397.3,122.7,1.8,1.8,73.0
497,-397.3,125.3,1.8,1.8,72.0
498,-397.3,128.0,1.8,1.8,72.0
499,-397.3,130.7,2.0,2.0,72.0
500,-397.3,133.3,2.0,2.0,71.0
501,-397.3,136.0,2.0,2.0,71.0
502,-397.3,138.7,2.0,2.0,71.0
503,-397.3,141.3,2.0,2.0,70.0
504,-397.3,144.0,2.1,2.1,70.0
505,-397.3,146.7,2.1,2.1,70.0
506,-397.3,149.3,2.1,2.1,69.0
507,-397.3,152.0,2.1,2.1,69.0
508,-397.3,154.7,2.1,2.1,69.0
509,-397.3,157.3,2.1,2.1,68.0
510,-397.3,160.0,2.0,2.0,68.0
511,-397.3,162.7,2.0,2.0,68.0
512,-397.3,165.3,2.0,2.0,67.0
513,-397.3,168.0,2.0,2.0,67.0
514,-397.3,170.7,2.0,2.0,67.0
515,-397.3,173.3,1.8,1.8,66.0
516,-397.3,176.0,1.8,1.8,66.0
517,-397.3,178.7,1.8,1.8,66.0
518,-397.3,181.3,1.8,1.8,65.0
519,-397.3,184.0,1.4,1.4,65.0
520,-397.3,186.7,1.4,1.4,65.0
521,-397.3,189.3,1.4,1.4,65.0
522,-397.3,192.0,1.4,1.4,64.0
523,-397.3,194.7,1.4,1.4,64.0
524,-397.3,197.3,0.8,0.8,64.0
525,-397.3,200.0,0.8,0.8,63.0
526,-397.3,202.7,0.8,0.8,63.0
527,-397.3,205.3,0.8,0.8,63.0
528,-397.3,208.0,0.3,0.3,62.0
529,-397.3,210.7,0.3,0.3,62.0
530,-397.3,213.3,0.3,0.3,62.0
531,-397.3,216.0,0.3,0.3,61.0
532,-397.3,218.7,0.8,0.8,61.0
533,-397.3,221.3,0.8,0.8,61.0
534,-397.3,224.0,0.8,0.8,61.0
535,-397.3,226.7,0.8,0.8,60.0
536,-397.3,229.3,1.4,1.4,60.0
537,-397.3,232.0,1.4,1.4,60.0
538,-397.3,234.7,1.4,1.4,59.0
539,-397.3,237.3,1.8,1.8,59.0
540,-397.3,240.0,1.8,1.8,59.0
541,-397.3,242.7,1.8,1.8,59.0
542,-397.3,245.3,1.8,1.8,58.0
543,-397.3,248.0,2.0,2.0,58.0
544,-397.3,250.7,2.0,2.0,58.0
545,-397.3,253.3,2.0,2.0,57.0
546,-397.3,256.0,2.1,2.1,57.0
547,-397.3,258.7,2.1,2.1,57.0
548,-397.3,261.3,2.1,2.1,57.0
549,-397.3,264.0,2.1,2.1,56.0
550,-397.3,266.7,2.0,2.0,56.0
551,-397.3,269.3,2.0,2.0,56.0
552,-397.3,272.0,2.0,2.0,56.0
553,-397.3,274.7,1.8,1.8,55.0
554,-397.3,277.3,1.8,1.8,55.0
555,-397.3,280.0,1.8,1.8,55.0
556,-397.3,282.7,1.4,1.4,55.0
557,-397.3,285.3,1.4,1.4,54.0
558,-397.3,288.0,1.4,1.4,54.0
559,-397.3,290.7,1.4,1.4,54.0
560,-397.3,293.3,0.8,0.8,54.0
561,-397.3,296.0,0.8,0.8,53.0
562,-397.3,298.7,0.8,0.8,53.0
563,-397.3,301.3,0.3,0.3,53.0
564,-397.3,304.0,0.3,0.3,53.0
565,-397.3,306.7,0.3,0.3,52.0
566,-397.3,309.3,0.8,0.8,52.0
567,-397.3,312.0,0.8,0.8,52.0
568,-397.3,314.7,0.8,0.8,52.0
569,-397.3,317.3,1.4,1.4,51.0
570,-397.3,320.0,1.4,1.4,51.0
571,-397.3,322.7,1.4,1.4,51.0
572,-397.3,325.3,1.8,1.8,51.0
573,-397.3,328.0,1.8,1.8,50.0
574,-397.3,330.7,1.8,1.8,50.0
575,-397.3,333.3,2.0,2.0,50.0
576,-397.3,336.0,2.0,2.0,50.0
577,-397.3,338.7,2.0,2.0,50.0
578,-397.3,341.3,2.1,2.1,49.0
579,-397.3,344.0,2.1,2.1,49.0
580,-397.3,346.7,2.1,2.1,49.0
581,-397.3,349.3,2.0,2.0,49.0
582,-397.3,352.0,2.0,2.0,48.0
583,-397.3,354.7,1.8,1.8,48.0
584,-397.3,357.3,1.8,1.8,48.0
585,-397.3,360.0,1.8,1.8,48.0
586,-397.3,362.7,1.4,1.4,48.0
587,-397.3,365.3,1.4,1.4,47.0
588,-397.3,368.0,1.4,1.4,47.0
589,-397.3,370.7,0.8,0.8,47.0
590,-397.3,373.3,0.8,0.8,47.0
591,-397.3,376.0,0.8,0.8,47.0
592,-397.3,378.7,0.3,0.3,46.0
593,-397.3,381.3,0.3,0.3,46.0
